ID,Loại,Mã sản phẩm,Tên,Đã đăng,Nhãn nổi bật?,Hiển thị trong danh mục,Mô tả ngắn,Mô tả,Ngày bắt đầu giảm giá,Ngày kết thúc giảm giá,Trạng thái thuế,Lớp thuế,Còn hàng?,Kho,Số lượng tồn kho ít,Cho phép đặt trước?,Bán riêng?,Cân nặng (kg),Độ dài (cm),Độ rộng (cm),Chiều cao (cm),Cho phép đánh giá của khách hàng?,Ghi chú thanh toán,Giá khuyến mãi,Giá bán thường,Danh mục,Từ khóa,Lớp giao hàng,Hình ảnh,Giới hạn tải xuống,Ngày hết hạn tải về,Gốc,Các sản phẩm theo nhóm,Upsells,Bán chéo,URL ngoài,Nội dung nút bấm,Vị trí,Tên thuộc tính 1,Giá trị thuộc tính 1,Thuộc tính hiển thị 1,Thuộc tính toàn cục 1,Tên thuộc tính 2,Giá trị thuộc tính 2,Thuộc tính hiển thị 2,Thuộc tính toàn cục 2,Tên thuộc tính 3,Giá trị thuộc tính 3,Thuộc tính hiển thị 3,Thuộc tính toàn cục 3,Tên thuộc tính 4,Giá trị thuộc tính 4,Thuộc tính hiển thị 4,Thuộc tính toàn cục 4
814,simple,AS450 4T0110,Biến tần,1,0,visible,Công suất (kw): 110  \n  Dòng điện (A): 224 \n Hiệu suất(%): 94 \n : ,,,,taxable,,1,,,0,0,,,,,1,,,"1904,26",Điện > Biến tần,,,,,,,,,,,,0,Công suất (kw),110,1,1,Dòng điện (A),224,1,1,Hiệu suất(%),94,1,1,,,,
815,simple,AS450 4T0132,Biến tần,1,0,visible,Công suất (kw): 132  \n  Dòng điện (A): 269 \n Hiệu suất(%): 94 \n : ,,,,taxable,,1,,,0,0,,,,,1,,,"2324,87",Điện > Biến tần,,,,,,,,,,,,0,Công suất (kw),132,1,1,Dòng điện (A),269,1,1,Hiệu suất(%),94,1,1,,,,
816,simple,AS450 4T0160,Biến tần,1,0,visible,Công suất (kw): 160  \n  Dòng điện (A): 312 \n Hiệu suất(%): 94 \n : ,,,,taxable,,1,,,0,0,,,,,1,,,"2769,29",Điện > Biến tần,,,,,,,,,,,,0,Công suất (kw),160,1,1,Dòng điện (A),312,1,1,Hiệu suất(%),94,1,1,,,,
817,simple,AS450 4T0185,Biến tần,1,0,visible,Công suất (kw): 185  \n  Dòng điện (A): 383 \n Hiệu suất(%): 94 \n : ,,,,taxable,,1,,,0,0,,,,,1,,,"3222,54",Điện > Biến tần,,,,,,,,,,,,0,Công suất (kw),185,1,1,Dòng điện (A),383,1,1,Hiệu suất(%),94,1,1,,,,
818,simple,AS450 4T0200,Biến tần,1,0,visible,Công suất (kw): 200  \n  Dòng điện (A): 401 \n Hiệu suất(%): 94 \n : ,,,,taxable,,1,,,0,0,,,,,1,,,"3753,39",Điện > Biến tần,,,,,,,,,,,,0,Công suất (kw),200,1,1,Dòng điện (A),401,1,1,Hiệu suất(%),94,1,1,,,,
819,simple,AS450 4T0220,Biến tần,1,0,visible,Công suất (kw): 220  \n  Dòng điện (A): 438 \n Hiệu suất(%): 94 \n : ,,,,taxable,,1,,,0,0,,,,,1,,,"4390,57",Điện > Biến tần,,,,,,,,,,,,0,Công suất (kw),220,1,1,Dòng điện (A),438,1,1,Hiệu suất(%),94,1,1,,,,
820,simple,AS450 4T0250,Biến tần,1,0,visible,Công suất (kw): 250  \n  Dòng điện (A): 492 \n Hiệu suất(%): 94 \n : ,,,,taxable,,1,,,0,0,,,,,1,,,"4764,05",Điện > Biến tần,,,,,,,,,,,,0,Công suất (kw),250,1,1,Dòng điện (A),492,1,1,Hiệu suất(%),94,1,1,,,,
821,simple,AS450 4T0280,Biến tần,1,0,visible,Công suất (kw): 280  \n  Dòng điện (A): 532 \n Hiệu suất(%): 94 \n : ,,,,taxable,,1,,,0,0,,,,,1,,,"5034,26",Điện > Biến tần,,,,,,,,,,,,0,Công suất (kw),280,1,1,Dòng điện (A),532,1,1,Hiệu suất(%),94,1,1,,,,
822,simple,AS450 4T0315,Biến tần,1,0,visible,Công suất (kw): 315  \n  Dòng điện (A): 613 \n Hiệu suất(%): 94 \n : ,,,,taxable,,1,,,0,0,,,,,1,,,"5433,55",Điện > Biến tần,,,,,,,,,,,,0,Công suất (kw),315,1,1,Dòng điện (A),613,1,1,Hiệu suất(%),94,1,1,,,,
823,simple,AS450 4T0355,Biến tần,1,0,visible,Công suất (kw): 355  \n  Dòng điện (A): 663 \n Hiệu suất(%): 94 \n : ,,,,taxable,,1,,,0,0,,,,,1,,,"7949,72",Điện > Biến tần,,,,,,,,,,,,0,Công suất (kw),355,1,1,Dòng điện (A),663,1,1,Hiệu suất(%),94,1,1,,,,
